round,game_no,player_first,player_second,result
378,3779,10,18,w
378,3780,2,5,w
379,3781,14,19,l
379,3782,4,12,w
379,3783,11,15,w
379,3784,3,7,l
379,3785,17,1,w
379,3786,9,8,w
379,3787,20,13,w
379,3788,16,6,w
379,3789,10,2,l
379,3790,18,5,w
380,3791,14,19,l
380,3792,4,12,w
380,3793,11,15,l
380,3794,3,7,l
380,3795,17,9,l
380,3796,1,20,l
380,3797,8,16,w
380,3798,13,6,l
380,3799,2,10,l
380,3800,18,5,w
381,3801,14,19,w
381,3802,4,12,w
381,3803,11,15,w
381,3804,3,7,w
381,3805,17,9,l
381,3806,1,20,w
381,3807,8,16,l
381,3808,6,13,l
381,3809,10,18,w
381,3810,2,5,w
382,3811,14,19,l
382,3812,4,12,w
382,3813,11,15,w
382,3814,3,7,w
382,3815,9,17,l
382,3816,1,20,w
382,3817,8,16,w
382,3818,13,6,l
382,3819,10,2,l
382,3820,18,5,l
383,3821,14,19,l
383,3822,4,11,l
383,3823,12,3,w
383,3824,15,7,w
383,3825,17,9,w
383,3826,1,8,w
383,3827,20,16,w
383,3828,6,13,l
383,3829,2,10,l
383,3830,18,5,w
384,3831,14,19,w
384,3832,4,11,l
384,3833,12,15,w
384,3834,3,17,l
384,3835,7,1,l
384,3836,9,20,w
384,3837,8,13,l
384,3838,16,6,l
384,3839,10,2,w
384,3840,18,5,w
385,3841,14,19,l
385,3842,4,11,w
385,3843,12,15,w
385,3844,3,17,w
385,3845,1,7,w
385,3846,9,20,w
385,3847,8,13,w
385,3848,6,10,l
385,3849,16,18,w
385,3850,2,5,l
386,3851,14,19,w
386,3852,4,12,l
386,3853,11,3,l
386,3854,15,17,w
386,3855,1,9,w
386,3856,7,8,w
386,3857,20,10,w
386,3858,13,16,w
386,3859,6,18,l
386,3860,2,5,l
387,3861,14,19,l
387,3862,4,12,w
387,3863,11,3,l
387,3864,15,1,w
387,3865,17,7,l
387,3866,9,20,w
387,3867,8,13,w
387,3868,10,16,w
387,3869,6,18,l
387,3870,2,5,w
388,3871,14,19,l
388,3872,4,12,w
388,3873,11,3,l
388,3874,15,1,l
388,3875,7,9,l
388,3876,17,8,w
388,3877,20,10,l
388,3878,13,16,w
388,3879,18,6,l
388,3880,2,5,w
389,3881,14,19,w
389,3882,4,12,l
389,3883,11,3,l
389,3884,15,1,w
389,3885,9,17,l
389,3886,7,8,w
389,3887,20,10,w
389,3888,13,6,w
389,3889,16,18,l
389,3890,2,5,l
390,3891,14,19,l
390,3892,4,12,l
390,3893,11,3,w
390,3894,15,17,w
390,3895,1,7,w
390,3896,9,20,w
390,3897,8,13,l
390,3898,10,18,l
390,3899,6,16,l
390,3900,2,5,l
391,3901,14,19,w
391,3902,4,12,w
391,3903,11,3,w
391,3904,15,1,w
391,3905,9,17,w
391,3906,7,20,w
391,3907,8,13,w
391,3908,10,18,w
391,3909,16,6,l
391,3910,2,5,w
392,3911,14,19,w
392,3912,4,12,w
392,3913,11,15,w
392,3914,3,9,l
392,3915,1,7,w
392,3916,17,8,l
392,3917,20,13,l
392,3918,10,18,l
392,3919,6,16,l
392,3920,2,5,w
393,3921,14,19,w
393,3922,4,12,w
393,3923,11,15,l
393,3924,3,9,w
393,3925,1,7,l
393,3926,17,8,l
393,3927,13,20,w
393,3928,10,18,w
393,3929,16,2,l
393,3930,6,5,w
394,3931,14,19,w
394,3932,4,12,l
394,3933,11,15,w
394,3934,3,9,w
394,3935,1,7,l
394,3936,17,8,w
394,3937,13,20,w
394,3938,10,18,w
394,3939,2,6,w
394,3940,16,5,w
395,3941,14,19,w
395,3942,4,12,w
395,3943,11,3,w
395,3944,15,7,l
395,3945,9,1,w
395,3946,17,8,w
395,3947,13,10,l
395,3948,20,2,w
395,3949,16,18,w
395,3950,6,5,w
396,3951,14,19,w
396,3952,4,11,w
396,3953,12,3,l
396,3954,15,7,w
396,3955,9,17,w
396,3956,1,8,w
396,3957,13,10,w
396,3958,20,16,w
396,3959,2,6,w
396,3960,18,5,w
397,3961,14,4,w
397,3962,19,11,w
397,3963,12,3,w
397,3964,15,9,l
397,3965,7,1,l
397,3966,17,13,w
397,3967,8,20,w
397,3968,10,2,l
397,3969,16,18,l
397,3970,6,5,w
398,3971,14,19,w
398,3972,4,12,w
398,3973,11,3,l
398,3974,15,9,l
398,3975,1,7,w
398,3976,17,8,l
398,3977,13,20,l
398,3978,10,2,l
398,3979,18,6,l
398,3980,16,5,w
399,3981,14,4,l
399,3982,19,12,w
399,3983,11,3,l
399,3984,9,15,w
399,3985,1,7,w
399,3986,17,8,w
399,3987,13,20,w
399,3988,2,10,w
399,3989,6,16,w
399,3990,18,5,w
400,3991,14,4,l
400,3992,19,12,w
400,3993,11,3,w
400,3994,9,15,w
400,3995,1,17,w
400,3996,7,8,w
400,3997,13,20,l
400,3998,2,6,w
400,3999,10,18,l
400,4000,16,5,w
401,4001,14,4,w
401,4002,19,11,w
401,4003,12,3,w
401,4004,9,1,l
401,4005,15,7,l
401,4006,17,8,l
401,4007,13,20,l
401,4008,2,18,l
401,4009,6,10,l
401,4010,16,5,w
402,4011,14,19,w
402,4012,4,12,w
402,4013,11,3,w
402,4014,9,1,l
402,4015,15,7,l
402,4016,17,8,w
402,4017,20,13,l
402,4018,2,18,l
402,4019,10,16,l
402,4020,6,5,l
403,4021,14,4,w
403,4022,19,11,w
403,4023,12,1,w
403,4024,3,9,w
403,4025,7,15,l
403,4026,17,8,w
403,4027,13,20,l
403,4028,18,2,w
403,4029,16,10,w
403,4030,6,5,l
404,4031,14,19,l
404,4032,4,12,l
404,4033,11,3,w
404,4034,1,9,w
404,4035,15,7,l
404,4036,17,20,l
404,4037,8,13,w
404,4038,18,16,w
404,4039,2,10,w
404,4040,6,5,w
405,4041,14,19,w
405,4042,4,12,l
405,4043,11,1,w
405,4044,3,9,w
405,4045,7,15,w
405,4046,17,20,l
405,4047,8,18,l
405,4048,13,2,w
405,4049,16,6,l
405,4050,10,5,w
406,4051,14,19,w
406,4052,4,12,l
406,4053,11,3,w
406,4054,1,7,w
406,4055,9,15,w
406,4056,17,20,l
406,4057,18,8,l
406,4058,13,2,l
406,4059,16,6,l
406,4060,10,5,w
407,4061,14,19,w
407,4062,4,12,l
407,4063,11,1,w
407,4064,3,9,w
407,4065,7,15,w
407,4066,17,20,w
407,4067,8,18,w
407,4068,13,2,w
407,4069,6,10,l
407,4070,16,5,w
408,4071,14,19,l
408,4072,4,12,w
408,4073,11,3,w
408,4074,1,7,w
408,4075,9,15,l
408,4076,17,20,w
408,4077,8,13,w
408,4078,18,2,w
408,4079,10,16,w
408,4080,6,5,w
409,4081,14,19,w
409,4082,4,11,l
409,4083,12,1,w
409,4084,3,7,w
409,4085,9,15,l
409,4086,17,8,w
409,4087,20,18,l
409,4088,13,10,l
409,4089,2,6,l
409,4090,16,5,w
410,4091,14,19,w
410,4092,4,11,l
410,4093,12,3,l
410,4094,1,7,w
410,4095,9,15,w
410,4096,17,8,w
410,4097,18,20,l
410,4098,10,13,w
410,4099,6,16,w
410,4100,2,5,w
411,4101,14,19,w
411,4102,4,11,w
411,4103,12,3,w
411,4104,1,9,l
411,4105,17,7,l
411,4106,15,20,w
411,4107,8,18,w
411,4108,10,6,w
411,4109,13,2,w
411,4110,16,5,w
412,4111,14,19,w
412,4112,4,11,w
412,4113,12,3,w
412,4114,1,9,l
412,4115,7,15,l
412,4116,17,8,w
412,4117,20,10,l
412,4118,18,13,l
412,4119,6,16,l
412,4120,2,5,w
413,4121,14,4,l
413,4122,19,12,l
413,4123,11,3,w
413,4124,1,9,w
413,4125,15,17,w
413,4126,7,8,w
413,4127,10,20,w
413,4128,13,18,l
413,4129,16,2,l
413,4130,6,5,l
414,4131,14,4,l
414,4132,19,12,l
414,4133,11,1,w
414,4134,3,9,l
414,4135,15,7,l
414,4136,17,10,w
414,4137,8,18,l
414,4138,20,13,l
414,4139,2,16,l
414,4140,6,5,w
415,4141,14,4,w
415,4142,12,19,l
415,4143,11,1,w
415,4144,3,9,w
415,4145,7,15,w
415,4146,17,10,w
415,4147,18,8,l
415,4148,13,20,l
415,4149,16,2,w
415,4150,6,5,w
416,4151,14,4,l
416,4152,19,11,l
416,4153,12,3,w
416,4154,1,7,l
416,4155,9,17,w
416,4156,15,8,w
416,4157,10,18,l
416,4158,20,13,l
416,4159,16,6,w
416,4160,2,5,l
417,4161,14,4,w
417,4162,11,12,w
417,4163,19,3,l
417,4164,7,9,w
417,4165,1,15,l
417,4166,17,18,w
417,4167,8,10,l
417,4168,13,16,w
417,4169,20,6,w
417,4170,2,5,l
418,4171,14,4,l
418,4172,11,12,w
418,4173,19,3,w
418,4174,7,9,w
418,4175,15,17,l
418,4176,1,10,w
418,4177,13,18,w
418,4178,20,8,l
418,4179,16,6,l
418,4180,2,5,w
419,4181,14,4,l
419,4182,11,19,l
419,4183,12,7,w
419,4184,3,17,w
419,4185,1,9,w
419,4186,15,13,l
419,4187,8,10,w
419,4188,18,20,l
419,4189,16,6,l
419,4190,2,5,l
420,4191,14,4,w
420,4192,11,19,l
420,4193,12,3,l
420,4194,7,1,w
420,4195,17,9,w
420,4196,15,13,w
420,4197,8,20,w
420,4198,10,18,l
420,4199,6,16,l
420,4200,2,5,w
421,4201,14,4,w
421,4202,19,11,w
421,4203,12,3,l
421,4204,7,17,w
421,4205,1,15,l
421,4206,9,8,l
421,4207,13,18,w
421,4208,20,10,w
421,4209,16,6,w
421,4210,2,5,w
422,4211,14,4,l
422,4212,19,11,w
422,4213,12,3,l
422,4214,7,15,w
422,4215,17,1,l
422,4216,9,8,w
422,4217,13,20,w
422,4218,16,18,l
422,4219,10,2,w
422,4220,6,5,w
423,4221,14,4,w
423,4222,19,11,l
423,4223,12,3,w
423,4224,7,1,l
423,4225,15,17,w
423,4226,9,13,w
423,4227,8,18,w
423,4228,20,10,w
423,4229,16,6,w
423,4230,2,5,w
424,4231,14,4,w
424,4232,19,11,w
424,4233,12,3,w
424,4234,7,1,w
424,4235,15,9,w
424,4236,17,8,l
424,4237,13,20,w
424,4238,16,18,l
424,4239,10,2,w
424,4240,6,5,w
425,4241,14,19,l
425,4242,4,11,l
425,4243,12,7,w
425,4244,3,15,l
425,4245,1,9,l
425,4246,17,8,w
425,4247,13,18,w
425,4248,20,10,w
425,4249,16,6,w
425,4250,2,5,w
426,4251,14,19,w
426,4252,4,11,l
426,4253,12,7,w
426,4254,3,15,l
426,4255,1,9,w
426,4256,17,13,w
426,4257,8,20,w
426,4258,16,18,l
426,4259,10,2,l
426,4260,6,5,w
427,4261,14,19,w
427,4262,4,11,w
427,4263,12,7,l
427,4264,15,3,l
427,4265,1,17,w
427,4266,9,8,l
427,4267,13,18,w
427,4268,20,16,w
427,4269,2,6,l
427,4270,10,5,w
428,4271,14,19,l
428,4272,4,11,w
428,4273,12,7,l
428,4274,3,15,l
428,4275,1,17,w
428,4276,9,8,w
428,4277,13,20,l
428,4278,18,6,w
428,4279,10,16,w
428,4280,2,5,l
429,4281,14,19,w
429,4282,4,11,l
429,4283,12,7,w
429,4284,15,1,l
429,4285,3,9,w
429,4286,17,8,w
429,4287,13,20,w
429,4288,18,10,w
429,4289,6,16,w
429,4290,2,5,w
430,4291,14,19,l
430,4292,4,11,w
430,4293,12,7,w
430,4294,1,3,l
430,4295,15,17,w
430,4296,9,13,l
430,4297,8,18,l
430,4298,20,6,w
430,4299,10,2,w
430,4300,16,5,w
431,4301,14,19,l
431,4302,4,12,l
431,4303,11,3,l
431,4304,7,15,l
431,4305,1,17,w
431,4306,9,13,w
431,4307,8,18,w
431,4308,20,10,w
431,4309,6,16,l
431,4310,2,5,w
432,4311,14,19,w
432,4312,4,12,w
432,4313,11,3,l
432,4314,15,1,w
432,4315,7,9,w
432,4316,17,13,w
432,4317,8,20,l
432,4318,18,10,l
432,4319,16,2,w
432,4320,6,5,w
433,4321,14,19,w
433,4322,4,12,l
433,4323,11,3,w
433,4324,15,7,l
433,4325,1,17,w
433,4326,9,13,l
433,4327,20,8,l
433,4328,18,10,w
433,4329,16,6,w
433,4330,2,5,l
434,4331,14,19,w
434,4332,4,12,w
434,4333,11,3,w
434,4334,7,15,l
434,4335,1,17,l
434,4336,9,13,w
434,4337,8,20,l
434,4338,18,16,l
434,4339,10,6,l
434,4340,2,5,w
435,4341,14,4,w
435,4342,19,12,l
435,4343,11,15,w
435,4344,3,7,w
435,4345,1,17,l
435,4346,9,13,l
435,4347,20,8,w
435,4348,16,18,w
435,4349,6,10,w
435,4350,2,5,w
436,4351,14,4,w
436,4352,12,19,l
436,4353,11,3,l
436,4354,15,7,w
436,4355,1,17,w
436,4356,9,13,w
436,4357,20,8,l
436,4358,16,18,l
436,4359,6,2,l
436,4360,10,5,w
437,4361,14,19,w
437,4362,4,12,w
437,4363,11,3,w
437,4364,15,1,w
437,4365,7,17,w
437,4366,9,13,w
437,4367,20,8,w
437,4368,16,18,w
437,4369,2,6,w
437,4370,10,5,w
438,4371,14,4,w
438,4372,19,11,w
438,4373,12,15,w
438,4374,3,7,w
438,4375,1,9,w
438,4376,17,20,l
438,4377,13,8,l
438,4378,16,18,l
438,4379,2,10,l
438,4380,6,5,w
439,4381,14,19,l
439,4382,4,12,l
439,4383,11,3,w
439,4384,15,1,l
439,4385,7,9,w
439,4386,17,20,w
439,4387,8,13,l
439,4388,16,18,l
439,4389,10,2,w
439,4390,6,5,w
440,4391,14,19,w
440,4392,12,4,w
440,4393,11,3,w
440,4394,15,1,w
440,4395,7,17,w
440,4396,9,20,w
440,4397,13,8,w
440,4398,18,10,l
440,4399,16,6,l
440,4400,2,5,w
441,4401,14,12,w
441,4402,19,11,w
441,4403,4,15,w
441,4404,3,7,w
441,4405,1,9,l
441,4406,17,13,l
441,4407,20,8,w
441,4408,10,18,l
441,4409,6,16,w
441,4410,2,5,l
442,4411,14,19,l
442,4412,12,4,w
442,4413,11,3,l
442,4414,15,7,w
442,4415,1,9,w
442,4416,17,13,w
442,4417,20,18,l
442,4418,6,8,l
442,4419,10,16,l
442,4420,2,5,w
443,4421,14,19,l
443,4422,12,4,w
443,4423,11,3,l
443,4424,15,1,w
443,4425,7,9,l
443,4426,17,13,w
443,4427,20,18,w
443,4428,8,6,l
443,4429,10,16,l
443,4430,2,5,l
444,4431,14,19,w
444,4432,12,4,l
444,4433,11,3,w
444,4434,15,1,w
444,4435,7,9,l
444,4436,17,20,w
444,4437,13,18,l
444,4438,6,8,l
444,4439,16,10,w
444,4440,2,5,w
445,4441,14,19,w
445,4442,12,4,l
445,4443,11,15,l
445,4444,3,1,w
445,4445,7,9,w
445,4446,17,20,l
445,4447,13,18,w
445,4448,8,16,w
445,4449,6,2,w
445,4450,10,5,w
446,4451,14,19,l
446,4452,12,4,w
446,4453,11,15,w
446,4454,3,7,l
446,4455,1,9,w
446,4456,17,20,w
446,4457,13,8,w
446,4458,18,6,w
446,4459,16,10,w
446,4460,2,5,w
447,4461,14,19,l
447,4462,12,4,l
447,4463,11,15,l
447,4464,3,7,w
447,4465,1,17,w
447,4466,9,13,l
447,4467,20,18,w
447,4468,8,16,l
447,4469,6,2,w
447,4470,10,5,w
448,4471,14,19,l
448,4472,12,4,l
448,4473,11,15,l
448,4474,3,1,l
448,4475,7,17,w
448,4476,9,13,w
448,4477,20,16,w
448,4478,18,6,w
448,4479,8,10,w
448,4480,2,5,l
449,4481,14,19,w
449,4482,4,12,w
449,4483,11,15,w
449,4484,3,1,l
449,4485,7,9,w
449,4486,17,20,w
449,4487,13,18,w
449,4488,8,16,l
449,4489,6,10,w
449,4490,2,5,l
450,4491,14,19,l
450,4492,4,12,l
450,4493,11,15,w
450,4494,3,1,w
450,4495,7,17,w
450,4496,9,13,w
450,4497,20,16,w
450,4498,18,6,w
450,4499,8,10,l
450,4500,2,5,w
451,4501,14,19,w
451,4502,4,12,w
451,4503,11,15,l
451,4504,3,7,l
451,4505,1,9,w
451,4506,17,20,l
451,4507,13,18,w
451,4508,16,6,w
451,4509,8,10,w
451,4510,2,5,w
452,4511,14,19,w
452,4512,4,12,l
452,4513,11,15,l
452,4514,3,7,w
452,4515,1,9,l
452,4516,17,20,w
452,4517,13,16,w
452,4518,18,8,w
452,4519,6,2,l
452,4520,10,5,w
453,4521,14,19,l
453,4522,4,12,w
453,4523,11,15,w
453,4524,3,7,w
453,4525,1,9,w
453,4526,17,13,l
453,4527,20,18,w
453,4528,16,8,l
453,4529,2,6,l
453,4530,10,5,w
454,4531,14,19,w
454,4532,4,12,l
454,4533,11,15,w
454,4534,3,1,l
454,4535,7,9,w
454,4536,17,13,w
454,4537,20,18,l
454,4538,8,16,w
454,4539,6,10,l
454,4540,2,5,w
455,4541,14,19,w
455,4542,4,12,l
455,4543,11,15,w
455,4544,3,1,w
455,4545,7,17,l
455,4546,9,13,l
455,4547,20,18,w
455,4548,8,10,w
455,4549,16,2,w
455,4550,6,5,w
456,4551,14,19,l
456,4552,12,4,l
456,4553,11,3,w
456,4554,15,1,l
456,4555,7,17,l
456,4556,9,13,w
456,4557,20,8,w
456,4558,18,16,w
456,4559,6,10,l
456,4560,2,5,w
457,4561,14,19,l
457,4562,4,11,w
457,4563,12,3,w
457,4564,15,1,l
457,4565,7,17,w
457,4566,9,20,w
457,4567,13,18,w
457,4568,8,10,l
457,4569,16,2,w
457,4570,6,5,w
458,4571,14,19,w
458,4572,4,12,w
458,4573,11,1,w
458,4574,3,15,l
458,4575,7,17,l
458,4576,9,13,w
458,4577,20,18,w
458,4578,8,10,l
458,4579,16,6,w
458,4580,2,5,w
459,4581,14,19,l
459,4582,4,11,w
459,4583,12,15,l
459,4584,1,3,l
459,4585,7,17,l
459,4586,9,20,w
459,4587,13,10,l
459,4588,16,18,l
459,4589,8,2,w
459,4590,6,5,l
460,4591,14,19,w
460,4592,4,11,w
460,4593,12,15,l
460,4594,3,1,l
460,4595,7,17,l
460,4596,9,20,l
460,4597,13,10,l
460,4598,18,8,w
460,4599,16,2,w
460,4600,6,5,w
461,4601,14,4,l
461,4602,19,11,w
461,4603,12,15,l
461,4604,1,3,l
461,4605,7,17,w
461,4606,9,20,l
461,4607,13,10,w
461,4608,18,16,l
461,4609,8,6,w
461,4610,2,5,w
462,4611,14,4,w
462,4612,19,11,w
462,4613,12,15,w
462,4614,3,1,w
462,4615,7,17,w
462,4616,9,20,l
462,4617,13,10,w
462,4618,16,18,w
462,4619,8,2,l
462,4620,6,5,l
463,4621,14,19,l
463,4622,4,12,l
463,4623,11,15,w
463,4624,3,1,l
463,4625,7,17,l
463,4626,9,20,l
463,4627,13,16,l
463,4628,10,18,l
463,4629,8,2,w
463,4630,6,5,l
464,4631,14,19,l
464,4632,4,12,w
464,4633,11,15,w
464,4634,3,1,l
464,4635,7,17,w
464,4636,20,9,l
464,4637,13,16,w
464,4638,18,8,l
464,4639,10,2,l
464,4640,6,5,w
465,4641,14,19,l
465,4642,4,11,l
465,4643,12,15,w
465,4644,1,3,l
465,4645,7,17,w
465,4646,9,20,w
465,4647,13,16,w
465,4648,8,18,w
465,4649,10,2,w
465,4650,6,5,w
466,4651,14,19,w
466,4652,4,11,w
466,4653,12,3,l
466,4654,15,1,w
466,4655,7,17,l
466,4656,9,20,l
466,4657,13,8,w
466,4658,16,10,w
466,4659,18,2,w
466,4660,6,5,w
467,4661,14,19,w
467,4662,4,11,w
467,4663,12,3,l
467,4664,15,1,w
467,4665,7,17,w
467,4666,9,20,w
467,4667,13,16,w
467,4668,8,18,l
467,4669,10,6,w
467,4670,2,5,w
468,4671,14,19,w
468,4672,4,11,w
468,4673,12,3,l
468,4674,15,7,w
468,4675,1,17,l
468,4676,9,13,l
468,4677,20,16,w
468,4678,18,8,w
468,4679,10,2,l
468,4680,6,5,w
469,4681,14,4,l
469,4682,19,11,w
469,4683,12,3,l
469,4684,15,7,w
469,4685,1,17,w
469,4686,9,13,w
469,4687,20,18,w
469,4688,16,8,w
469,4689,10,2,w
469,4690,6,5,l
470,4691,14,4,l
470,4692,19,11,l
470,4693,12,3,w
470,4694,15,1,w
470,4695,7,17,w
470,4696,9,20,l
470,4697,13,16,w
470,4698,18,10,w
470,4699,8,2,l
470,4700,6,5,l
471,4701,14,4,w
471,4702,19,11,w
471,4703,12,15,l
471,4704,3,7,l
471,4705,1,17,l
471,4706,20,9,l
471,4707,13,18,w
471,4708,16,10,l
471,4709,2,8,w
471,4710,6,5,w
472,4711,14,4,w
472,4712,19,11,w
472,4713,12,15,w
472,4714,3,7,w
472,4715,1,17,l
472,4716,9,13,w
472,4717,20,18,w
472,4718,10,16,l
472,4719,2,6,w
472,4720,8,5,w
473,4721,14,19,w
473,4722,4,12,l
473,4723,11,15,l
473,4724,3,7,w
473,4725,1,17,w
473,4726,9,20,w
473,4727,13,16,l
473,4728,18,2,l
473,4729,10,8,w
473,4730,6,5,w
474,4731,14,19,w
474,4732,4,12,w
474,4733,11,15,w
474,4734,3,7,l
474,4735,1,9,l
474,4736,17,20,l
474,4737,13,16,w
474,4738,2,10,l
474,4739,18,6,l
474,4740,8,5,w
475,4741,14,4,w
475,4742,19,12,l
475,4743,11,15,w
475,4744,3,7,w
475,4745,1,9,l
475,4746,17,20,w
475,4747,13,10,w
475,4748,16,2,w
475,4749,18,6,w
475,4750,8,5,l
476,4751,14,4,w
476,4752,19,12,w
476,4753,11,3,w
476,4754,15,7,w
476,4755,9,1,w
476,4756,17,13,w
476,4757,20,16,w
476,4758,10,18,w
476,4759,2,6,l
476,4760,8,5,w
477,4761,14,19,l
477,4762,4,11,w
477,4763,12,15,l
477,4764,3,7,w
477,4765,9,17,l
477,4766,1,20,l
477,4767,13,10,l
477,4768,16,18,w
477,4769,2,6,w
477,4770,8,5,w
478,4771,14,19,w
478,4772,4,11,l
478,4773,12,15,l
478,4774,3,7,w
478,4775,9,17,w
478,4776,20,1,l
478,4777,13,10,w
478,4778,16,2,l
478,4779,8,18,w
478,4780,6,5,w
479,4781,14,19,w
479,4782,4,11,l
479,4783,12,15,l
479,4784,3,9,w
479,4785,7,17,l
479,4786,1,20,w
479,4787,13,10,w
479,4788,16,2,w
479,4789,8,6,l
479,4790,18,5,l
480,4791,14,19,w
480,4792,4,11,l
480,4793,15,3,l
480,4794,12,9,w
480,4795,17,1,l
480,4796,7,13,l
480,4797,20,16,w
480,4798,10,2,l
480,4799,6,8,l
480,4800,18,5,w
481,4801,14,19,w
481,4802,4,11,l
481,4803,3,12,w
481,4804,15,1,w
481,4805,9,17,l
481,4806,7,13,l
481,4807,20,16,l
481,4808,2,8,l
481,4809,10,6,w
481,4810,18,5,w
482,4811,14,19,w
482,4812,4,11,l
482,4813,3,15,l
482,4814,12,17,l
482,4815,1,9,w
482,4816,13,7,l
482,4817,20,16,w
482,4818,8,10,w
482,4819,2,18,l
482,4820,6,5,w
483,4821,14,19,w
483,4822,4,11,l
483,4823,15,3,w
483,4824,12,17,w
483,4825,1,7,l
483,4826,9,13,w
483,4827,20,8,l
483,4828,16,10,w
483,4829,18,2,w
483,4830,6,5,w
484,4831,14,11,l
484,4832,19,4,w
484,4833,15,3,l
484,4834,12,17,w
484,4835,1,7,w
484,4836,9,13,w
484,4837,20,8,w
484,4838,16,18,l
484,4839,6,10,w
484,4840,2,5,w
485,4841,14,11,w
485,4842,19,4,l
485,4843,15,3,l
485,4844,12,1,l
485,4845,9,17,w
485,4846,7,20,l
485,4847,13,8,l
485,4848,16,18,l
485,4849,6,2,l
485,4850,10,5,w
486,4851,14,11,w
486,4852,19,4,w
486,4853,3,15,w
486,4854,12,1,w
486,4855,9,17,l
486,4856,20,7,w
486,4857,13,8,w
486,4858,18,16,l
486,4859,2,6,l
486,4860,10,5,w
487,4861,14,19,w
487,4862,11,4,l
487,4863,3,12,l
487,4864,15,1,w
487,4865,9,17,l
487,4866,20,7,l
487,4867,13,8,w
487,4868,16,18,l
487,4869,6,10,l
487,4870,2,5,w
488,4871,14,19,l
488,4872,4,11,l
488,4873,3,12,l
488,4874,15,17,l
488,4875,1,9,w
488,4876,20,7,w
488,4877,13,18,w
488,4878,8,10,w
488,4879,16,2,l
488,4880,6,5,w
489,4881,14,19,w
489,4882,11,4,l
489,4883,12,3,w
489,4884,15,17,w
489,4885,1,20,w
489,4886,9,13,l
489,4887,7,8,w
489,4888,18,2,l
489,4889,6,10,w
489,4890,16,5,l
490,4891,14,19,l
490,4892,4,11,l
490,4893,12,15,w
490,4894,3,1,w
490,4895,17,13,w
490,4896,20,7,w
490,4897,9,2,w
490,4898,6,8,l
490,4899,18,10,w
490,4900,16,5,w
491,4901,14,19,w
491,4902,11,4,l
491,4903,12,3,l
491,4904,15,17,l
491,4905,1,20,l
491,4906,9,13,w
491,4907,7,8,w
491,4908,18,2,w
491,4909,6,16,w
491,4910,10,5,w
492,4911,14,19,w
492,4912,4,11,l
492,4913,12,3,l
492,4914,15,17,l
492,4915,20,1,w
492,4916,9,7,w
492,4917,13,18,l
492,4918,6,8,l
492,4919,2,10,l
492,4920,16,5,w
493,4921,14,11,w
493,4922,19,4,l
493,4923,3,12,w
493,4924,15,17,l
493,4925,20,9,w
493,4926,1,7,w
493,4927,13,18,l
493,4928,8,6,w
493,4929,10,16,l
493,4930,2,5,w
494,4931,14,4,w
494,4932,11,19,w
494,4933,3,12,l
494,4934,15,17,w
494,4935,20,1,l
494,4936,9,7,l
494,4937,13,18,w
494,4938,8,16,w
494,4939,2,6,l
494,4940,10,5,w
495,4941,14,11,l
495,4942,4,19,w
495,4943,3,12,w
495,4944,15,17,w
495,4945,20,1,l
495,4946,9,7,w
495,4947,13,8,w
495,4948,18,6,l
495,4949,10,16,l
495,4950,2,5,l
496,4951,14,11,w
496,4952,4,3,w
496,4953,19,12,l
496,4954,15,17,w
496,4955,1,20,l
496,4956,9,13,l
496,4957,7,8,l
496,4958,18,6,w
496,4959,16,10,l
496,4960,2,5,w
497,4961,14,4,w
497,4962,11,3,w
497,4963,12,19,l
497,4964,15,17,l
497,4965,20,1,l
497,4966,9,13,l
497,4967,7,8,l
497,4968,18,6,w
497,4969,10,16,w
497,4970,2,5,w
498,4971,14,11,l
498,4972,4,19,w
498,4973,3,12,w
498,4974,15,17,w
498,4975,1,20,w
498,4976,13,9,w
498,4977,7,8,w
498,4978,18,10,l
498,4979,2,6,w
498,4980,16,5,w
499,4981,14,11,l
499,4982,4,3,w
499,4983,19,12,l
499,4984,15,1,w
499,4985,17,13,l
499,4986,20,9,l
499,4987,7,8,w
499,4988,18,10,l
499,4989,2,16,l
499,4990,6,5,l
500,4991,14,11,w
500,4992,4,3,l
500,4993,12,15,l
500,4994,19,1,l
500,4995,13,17,w
500,4996,20,9,l
500,4997,7,8,w
500,4998,10,18,w
500,4999,16,2,l
500,5000,6,5,w
501,5001,14,11,w
501,5002,4,3,l
501,5003,15,12,l
501,5004,19,1,w
501,5005,13,17,l
501,5006,9,20,w
501,5007,7,10,w
501,5008,8,18,l
501,5009,2,16,l
501,5010,6,5,w
502,5011,14,11,w
502,5012,4,3,l
502,5013,12,15,w
502,5014,19,1,l
502,5015,13,17,l
502,5016,9,7,l
502,5017,20,10,w
502,5018,18,8,w
502,5019,16,2,l
502,5020,6,5,w
503,5021,14,11,w
503,5022,3,4,w
503,5023,12,15,w
503,5024,19,1,l
503,5025,17,13,w
503,5026,7,9,w
503,5027,20,18,w
503,5028,10,2,w
503,5029,6,8,l
503,5030,16,5,w
504,5031,14,3,l
504,5032,11,4,l
504,5033,12,15,w
504,5034,19,1,w
504,5035,17,7,w
504,5036,13,20,w
504,5037,9,10,w
504,5038,18,8,l
504,5039,16,2,l
504,5040,6,5,w
505,5041,14,3,w
505,5042,4,11,l
505,5043,12,19,l
505,5044,15,17,l
505,5045,1,13,w
505,5046,7,9,l
505,5047,20,8,w
505,5048,10,18,l
505,5049,2,6,l
